title,year,month,url,keyword
1919: The Year of the Crack-Up,2019,01,https://www.nytimes.com/2018/12/31/opinion/1919-america.html,"United States Politics and Government, New Year, League of Nations, Wilson, Woodrow, Europe"
In Search of Lost Screen Time,2019,01,https://www.nytimes.com/2018/12/31/opinion/smartphones-screen-time.html,"Smartphones, Social Media"
"Warren Wells, Star Receiver With a Derailed Career, Dies at 76",2019,01,https://www.nytimes.com/2018/12/31/obituaries/warren-wells-dead.html,"Wells, Warren (1942-2018), Football, Deaths (Obituaries), Oakland Raiders, American Football League, Oakland (Calif)"
2019: The Year of the Wolves,2019,01,https://www.nytimes.com/2018/12/31/opinion/trump-indictment-2019.html,"Trump, Donald J, United States Politics and Government, Constitution (US), Watergate Affair, Cather, Willa, My Antonia (Book)"
Why Trump Reigns as King Cyrus,2019,01,https://www.nytimes.com/2018/12/31/opinion/trump-evangelicals-cyrus-king.html,"United States Politics and Government, Bible, Evangelical Movement, Liberty University, Falwell, Jerry Jr (1962- ), Trump, Donald J, Wallnau, Lance"
Wanted: A Jets Coach Who Suits Sam Darnold,2019,01,https://www.nytimes.com/2018/12/31/sports/jets-coach-sam-darnold.html,"Football, Coaches and Managers, New York Jets, Maccagnan, Mike, Darnold, Sam (1997- ), Johnson, Christopher (1959- )"
Military Deletes New Year�s Eve Tweet Saying It�s �Ready to Drop Something�,2019,01,https://www.nytimes.com/2018/12/31/us/strategic-command-bomb-video.html,"UNITED STATES STRATEGIC COMMAND, Twitter, Nuclear Weapons, New Year, United States Defense and Military Forces, Computers and the Internet, Military Aircraft, Defense Department"
Firing of Several Black Coaches Puts N.F.L. Hiring Under Scrutiny,2019,01,https://www.nytimes.com/2018/12/31/sports/nfl-black-coaches-fired.html,"Coaches and Managers, Football, National Football League, Race and Ethnicity"
Quotation of the Day: Louis C.K. Mocks Parkland School Shooting Survivors in Recent Set,2019,01,https://www.nytimes.com/2018/12/31/todayspaper/quotation-of-the-day-louis-ck-mocks-parkland-school-shooting-survivors-in-recent-set.html,
Video on Turkish TV Is Said to Show Khashoggis Remains Being Moved,2019,01,https://www.nytimes.com/2018/12/31/world/middleeast/khashoggi-video-turkey.html,"Khashoggi, Jamal, Assassinations and Attempted Assassinations, Mohammed bin Salman (1985- ), Saudi Arabia, Turkey"
Macron Vows Order Without Compromise in Rebuke to Yellow Vest Protests,2019,01,https://www.nytimes.com/2018/12/31/world/europe/france-macron-yellow-vests.html,"Yellow Vests Movement, France, Macron, Emmanuel (1977- ), Politics and Government, Demonstrations, Protests and Riots, Economic Conditions and Trends, New Year"
"Corrections: January 1, 2019",2019,01,https://www.nytimes.com/2018/12/31/pageoneplus/corrections-january-1-2019.html,
"Kim Jong-un, Ready to Meet Trump at Any Time, Demands U.S. End Sanctions",2019,01,https://www.nytimes.com/2018/12/31/world/asia/kim-jong-un-trump.html,"Kim Jong-un, Speeches and Statements, North Korea, Politics and Government, United States International Relations, Embargoes and Sanctions, International Relations, New Year, Trump, Donald J, United States, South Korea, Nuclear Weapons, United States Defense and Military Forces"
Sync your calendar with the solar system,2019,01,https://www.nytimes.com/interactive/2019/science/astronomy-space-calendar.html,"Space and Astronomy, Moon, Eclipses, Seasons and Months, Solar System, Meteors and Meteorites"
"NASA�s New Horizons Takes Photos of Ultima Thule, 4 Billion Miles Away",2019,01,https://www.nytimes.com/2018/12/31/science/new-horizons-ultima-thule.html,"New Horizons (Spacecraft), National Aeronautics and Space Administration, Space and Astronomy, Stern, S Alan"
Barely Adequate,2019,01,https://www.nytimes.com/2018/12/31/crosswords/daily-puzzle-2019-01-01.html,Crossword Puzzles
Finding Female Friends Over 50 Can Be Hard. These Women Figured It Out.,2019,01,https://www.nytimes.com/2018/12/31/style/self-care/finding-female-friends-over-50-meetup.html,"Women and Girls, Friendship, Los Angeles (Calif), Meetup.com, Dating and Relationships"
On Politics: Elizabeth Warren Is Running for President,2019,01,https://www.nytimes.com/2019/01/01/us/politics/elizabeth-warren-president.html,United States Politics and Government
Pete Davidson Back Onstage for First Time Since Suicide Scare,2019,01,https://www.nytimes.com/2019/01/01/arts/pete-davidson-return-standup.html,"Comedy and Humor, Davidson, Pete (1993- ), Saturday Night Live (TV Program), Mental Health and Disorders"
What�s on TV Tuesday: �Tidying Up With Marie Kondo� and �Doctor Who�,2019,01,https://www.nytimes.com/2019/01/01/arts/television/whats-on-tv-tuesday-marie-kondo-doctor-who.html,"Television, Movies"
James Watson Had a Chance to Salvage His Reputation on Race. He Made Things Worse.,2019,01,https://www.nytimes.com/2019/01/01/science/watson-dna-genetics-race.html,"Watson, James D, Genetics and Heredity, Race and Ethnicity, DNA (Deoxyribonucleic Acid), Intelligence and Intelligence Tests (IQ), Documentary Films and Programs, Nobel Prizes, Biology and Biochemistry, Human Genome Project, Broad Institute, Cold Spring Harbor Laboratory, Crick, Francis H C, AMERICAN MASTERS (TV PROGRAM)"
A Rising Threat to Wildlife: Electrocution,2019,01,https://www.nytimes.com/2019/01/01/science/wildlife-electrocution.html,"Endangered and Extinct Species, Birds, ANIMALS, Conservation of Resources, Electric Light and Power, AFRICA, Fences and Property Barriers"
Another Season Comes and Goes While Pac-12 Struggles to Keep Up,2019,01,https://www.nytimes.com/2019/01/01/sports/rose-bowl-pac12.html,"College Athletics, Football (College), Pacific-12 Conference, Scott, Larry (1964- ), Los Angeles (Calif), Western States (US), California, National Collegiate Athletic Assn"
"Rocket Launches, Trips to the Moon and More Space and Astronomy Events in 2019",2019,01,https://www.nytimes.com/2019/01/01/science/2019-launches-moon.html,"Space and Astronomy, Rocket Science and Propulsion, National Aeronautics and Space Administration, Space Exploration Technologies Corp, China, Innovation"
A Photographers Quest to Reverse China�s Historical Amnesia,2019,01,https://www.nytimes.com/2019/01/01/world/asia/china-cultural-revolution-photography.html,"Li Zhensheng (1940- ), Cultural Revolution, Photography, Communist Party of China, Mao Zedong, Politics and Government, China"
How to Get Stronger in the New Year,2019,01,https://www.nytimes.com/2019/01/01/well/move/how-to-get-stronger-in-the-new-year.html,"Exercise, Muscles, Weight, Weight Lifting, Health Clubs, Mental Health and Disorders"
